"","V1_v_high","V1_v_low","V1_v_med","V1_v_vhigh","V2_v_high","V2_v_low","V2_v_med","V2_v_vhigh","V3_v_2","V3_v_3","V3_v_4","V3_v_5more","V4_v_2","V4_v_4","V4_v_more","V5_v_big","V5_v_med","V5_v_small","V6_v_high","V6_v_low","V6_v_med","V7"
"93",0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,"unacc"
"95",0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,"unacc"
"97",0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,"unacc"
"99",0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,"unacc"
"101",0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,"unacc"
"103",0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,"unacc"
"104",0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,"unacc"
"105",0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,"unacc"
"106",0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,"unacc"
"108",0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,"unacc"
"110",0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,"unacc"
"111",0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,"unacc"
"112",0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,"unacc"
"113",0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,"unacc"
"114",0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,"unacc"
"115",0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,"unacc"
"116",0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,"unacc"
"117",0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,"unacc"
"118",0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,"unacc"
"120",0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,"unacc"
"121",0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,"unacc"
"123",0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,"unacc"
"124",0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,"unacc"
"125",0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,"unacc"
"126",0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,"unacc"
"127",0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,"unacc"
"128",0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,"unacc"
"129",0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,"unacc"
"130",0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,"unacc"
"131",0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,"unacc"
"133",0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,"unacc"
"134",0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,"unacc"
"135",0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,"unacc"
"136",0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,"unacc"
"138",0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,"unacc"
"139",0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,"unacc"
"140",0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,"unacc"
"141",0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,"unacc"
"142",0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,"unacc"
"143",0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,"unacc"
"144",0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,"unacc"
"145",0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,"unacc"
"146",0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,"unacc"
"147",0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,"unacc"
"148",0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,"unacc"
"149",0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,"unacc"
"151",0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,"unacc"
"152",0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,"unacc"
"153",0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,"unacc"
"154",0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,"unacc"
"157",0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,"unacc"
"159",0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,"unacc"
"160",0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,"unacc"
"161",0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,"unacc"
"162",0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,"unacc"
"163",0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,"unacc"
"164",0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,"unacc"
"165",0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,"unacc"
"166",0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,"unacc"
"167",0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,"unacc"
"168",0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,"unacc"
"169",0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,"unacc"
"170",0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,"unacc"
"171",0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,"unacc"
"172",0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,"unacc"
"173",0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,"unacc"
"175",0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,"unacc"
"176",0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,"unacc"
"177",0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,"unacc"
"178",0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,"unacc"
"179",0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,"unacc"
"181",0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,"unacc"
"182",0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,"unacc"
"183",0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,"unacc"
"185",0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,"unacc"
"186",0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,"unacc"
"188",0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,"unacc"
"189",0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,"unacc"
"190",0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,"unacc"
"191",0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,"unacc"
"192",0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,"unacc"
"193",0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,"unacc"
"194",0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,"unacc"
"197",0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,"unacc"
"198",0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,"unacc"
"199",0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,"unacc"
"201",0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,"unacc"
"202",0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,"unacc"
"203",0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,"unacc"
"204",0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,"unacc"
"205",0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,"unacc"
"206",0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,"unacc"
"207",0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,"unacc"
"208",0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,"unacc"
"209",0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,"unacc"
"210",0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,"unacc"
"212",0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,"unacc"
"213",0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,"unacc"
"214",0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,"unacc"
"215",0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,"unacc"
"216",0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,"unacc"
"217",0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,"unacc"
"218",0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,"unacc"
"219",0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,"unacc"
"220",0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,"unacc"
"221",0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,"unacc"
"222",0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,"unacc"
"223",0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,"unacc"
"225",0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,"unacc"
"226",0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,"unacc"
"228",0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,"acc"
"229",0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,"unacc"
"230",0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,"unacc"
"231",0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,"acc"
"232",0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,"unacc"
"233",0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,"acc"
"234",0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,"acc"
"236",0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,"unacc"
"237",0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,"unacc"
"238",0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,"unacc"
"239",0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,"unacc"
"240",0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,"acc"
"241",0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,"unacc"
"243",0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,"acc"
"244",0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,"unacc"
"245",0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,"unacc"
"246",0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,"unacc"
"247",0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,"unacc"
"248",0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,"unacc"
"249",0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,"unacc"
"250",0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,"unacc"
"251",0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,"unacc"
"252",0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,"unacc"
"253",0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,"unacc"
"255",0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,"acc"
"256",0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,"unacc"
"257",0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,"unacc"
"259",0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,"unacc"
"260",0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,"acc"
"261",0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,"acc"
"262",0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,"unacc"
"263",0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,"unacc"
"265",0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,"unacc"
"266",0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,"acc"
"268",0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,"unacc"
"269",0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,"acc"
"270",0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,"acc"
"271",0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,"unacc"
"272",0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,"unacc"
"273",0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,"unacc"
"274",0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,"unacc"
"275",0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,"unacc"
"276",0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,"unacc"
"277",0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,"unacc"
"278",0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,"unacc"
"279",0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,"unacc"
"281",0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,"unacc"
"282",0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,"acc"
"283",0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,"unacc"
"285",0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,"acc"
"286",0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,"unacc"
"287",0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,"acc"
"288",0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,"acc"
"289",0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,"unacc"
"290",0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,"unacc"
"291",0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,"acc"
"292",0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,"unacc"
"293",0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,"acc"
"294",0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,"acc"
"295",0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,"unacc"
"296",0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,"acc"
"297",0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,"acc"
"298",0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,"unacc"
"300",0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,"unacc"
"301",0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,"unacc"
"302",0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,"unacc"
"303",0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,"unacc"
"304",0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,"unacc"
"305",0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,"unacc"
"307",0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,"unacc"
"308",0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,"unacc"
"309",0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,"acc"
"310",0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,"unacc"
"311",0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,"acc"
"312",0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,"acc"
"315",0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,"acc"
"317",0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,"unacc"
"318",0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,"acc"
"319",0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,"unacc"
"320",0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,"acc"
"321",0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,"acc"
"322",0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,"unacc"
"323",0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,"acc"
"325",0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,"unacc"
"326",0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,"unacc"
"327",0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,"unacc"
"328",0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,"unacc"
"331",0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,"unacc"
"332",0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,"unacc"
